,transaction_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,transaction_year,transaction_month,transaction_day,address,postcode,state,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age_group
0,1,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,2017,February,Saturday,060 Morning Avenue,2016,New South Wales,10,Laraine,Medendorp,Female,93,Executive Secretary,Health,Mass Customer,N,Yes,11.0,69.0,60s
1,2,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701.0,2017,May,Sunday,6 Meadow Vale Court,2153,New South Wales,10,Eli,Bockman,Male,81,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,42.0,40s
2,3,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,2017,October,Monday,0 Holy Cross Court,4211,QLD,9,Arlin,Dearle,Male,61,Recruiting Manager,Property,Mass Customer,N,Yes,15.0,69.0,60s
3,4,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,2017,August,Thursday,17979 Del Mar Point,2448,New South Wales,4,Talbot,,Male,33,,IT,Mass Customer,N,No,7.0,61.0,60s
4,5,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,2017,October,Sunday,9 Oakridge Court,3216,Victoria,9,Sheila-kathryn,Calton,Female,56,Senior Editor,,Affluent Customer,N,Yes,8.0,46.0,40s
5,6,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,2017,March,Wednesday,4 Delaware Trail,2210,New South Wales,9,Curr,Duckhouse,Male,35,,Retail,High Net Worth,N,Yes,13.0,56.0,50s
6,7,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,2017,April,Friday,49 Londonderry Lane,2650,New South Wales,4,Fina,Merali,Female,6,,Financial Services,Affluent Customer,N,Yes,11.0,47.0,40s
7,8,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,2017,July,Saturday,97736 7th Trail,2023,New South Wales,12,Rod,Inder,Male,31,Media Manager I,,Mass Customer,N,No,7.0,61.0,60s
8,9,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,2017,August,Thursday,93405 Ludington Park,3044,Victoria,8,Mala,Lind,Female,97,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,50.0,50s
9,10,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,2017,August,Wednesday,44339 Golden Leaf Alley,4557,QLD,4,Fiorenze,Birdall,Female,49,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20.0,34.0,30s
